time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.797034,-5.8466,-2.9331,-4.4600,7.917
4.808177,-4.9169,-2.7808,-5.6551,7.993
4.817228,-3.7418,-3.0583,-5.4456,7.281
4.828087,-2.7787,-3.6548,-5.5346,7.191
4.837876,-2.4104,-3.8978,-5.5699,7.213
4.848491,-2.0509,-3.7234,-5.1109,6.648
4.861766,-1.5628,-2.7534,-3.0382,4.388
4.868663,-0.7784,-1.3679,-1.7875,2.382
4.878846,0.2220,-1.1046,-2.2134,2.484
4.889245,1.9584,-1.9842,-1.0823,2.991
4.898386,3.1963,-3.3626,1.3424,4.830
4.911984,3.7829,-4.0040,2.5023,6.050
4.918025,4.2742,-3.5965,2.6577,6.186
4.928639,4.4373,-2.5522,2.7615,5.816
4.938332,4.2509,-1.3973,3.1570,5.476
4.948661,3.8365,0.0599,4.4314,5.862
4.961024,3.5400,1.2837,5.0351,6.287
4.968859,3.5918,1.2916,4.6541,6.019
4.979792,3.4270,0.5950,4.2386,5.483
4.989923,2.9054,0.2471,3.0876,4.247
4.999485,2.1907,0.0563,1.6643,2.752
5.016931,1.4127,0.0073,0.7716,1.610
5.018321,0.7973,0.3029,0.4264,0.954
5.028864,0.4301,0.8629,0.4620,1.069
5.039088,0.5141,1.2466,0.6604,1.501
5.049084,0.6733,1.2767,1.0735,1.799
5.059895,0.8807,1.2781,1.5538,2.196
5.070685,1.0589,1.1395,1.7129,2.314
5.079844,1.0978,0.9059,1.8196,2.310
5.090218,0.9404,0.7443,2.0125,2.343
5.100297,0.6685,0.7335,2.1010,2.324
5.114307,0.4193,0.7293,2.1211,2.282
5.119853,0.1731,0.6932,1.9873,2.112
5.129906,-0.0877,0.5708,1.6073,1.708
5.143158,-0.4889,0.5375,1.4206,1.596
5.150562,-0.9075,0.5446,1.3264,1.697
5.162590,-1.1987,0.4374,1.3993,1.894
5.170919,-1.3808,0.2892,1.4793,2.044
5.180279,-1.5052,0.1533,1.7301,2.298
5.195275,-1.5402,0.1378,1.9119,2.459
5.200808,-1.3859,0.1100,1.7901,2.267
5.211449,-1.1556,0.0738,1.4461,1.853
5.218818,-1.0182,0.2589,1.1054,1.525
5.233426,-0.9529,0.4192,0.8269,1.329
5.235747,-0.9256,0.4991,0.4762,1.154
5.245593,-0.8802,0.4535,0.2425,1.019
5.256262,-0.7840,0.5141,0.1733,0.953
5.265821,-0.5018,0.7315,0.0738,0.890
5.277805,-0.0064,0.9021,0.1765,0.919
5.286103,0.6210,1.0814,0.3005,1.283
5.296897,1.2261,1.2942,0.2710,1.803
5.312724,1.6628,1.4680,0.2141,2.228
5.316276,1.7653,1.5132,0.0126,2.325
5.326220,1.5661,1.5447,-0.3036,2.221
5.336681,1.3148,1.5638,-0.7303,2.170
5.347061,1.0753,1.2663,-0.9993,1.939
5.360428,0.8645,0.9470,-1.0933,1.685
5.367807,0.6543,0.7660,-1.0229,1.436
5.378869,0.4601,0.6526,-0.7743,1.112
5.387688,0.3671,0.5050,-0.3562,0.719
5.397123,0.3643,0.2769,-0.0448,0.460
5.409333,0.3813,-0.2175,-0.1111,0.453
5.418309,0.3266,-0.6481,-0.5643,0.919
5.428144,0.2105,-0.5885,-1.0403,1.214
